location,category,chambres,salles_de_bains,superficie,type_de_transaction,date,price
"Ariana, Raoued",Terrains et Fermes,,,,,7 février 2020,100.0
"Ariana, Autres villes",Terrains et Fermes,,,,,7 février 2020,316000.0
"Ariana, Autres villes",Locations de vacances,3.0,80.0,,À Louer,7 février 2020,70.0
"Ariana, Autres villes",Appartements,2.0,1.0,900.0,À Louer,7 février 2020,80.0
"Ariana, Autres villes",Locations de vacances,1.0,1.0,900.0,À Louer,7 février 2020,70.0
"Ariana, Autres villes",Appartements,2.0,1.0,80.0,À Louer,7 février 2020,380.0
"Ariana, Autres villes",Locations de vacances,1.0,1.0,90.0,À Louer,7 février 2020,70.0
"Ariana, Jardins D'el Menzah","Magasins, Commerces et Locaux industriels",1.0,0.0,14.0,À Vendre,7 février 2020,30000.0
"Ariana, Ariana Ville",Appartements,2.0,2.0,113.0,À Vendre,7 février 2020,170.0
"Ariana, Autres villes",Locations de vacances,1.0,1.0,70.0,À Louer,7 février 2020,80.0
"Ariana, Ariana",Appartements,3.0,4.0,220.0,À Louer,7 février 2020,1950.0
"Ariana, Borj Louzir",Appartements,2.0,1.0,100.0,À Louer,7 février 2020,670.0
"Ariana, Borj Louzir","Magasins, Commerces et Locaux industriels",2.0,1.0,20.0,À Louer,7 février 2020,650.0
"Ariana, La Soukra",Appartements,3.0,220.0,,À Vendre,7 février 2020,580000.0
"Ariana, Autres villes",Terrains et Fermes,,,,,7 février 2020,180.0
"Ariana, Ariana Ville","Magasins, Commerces et Locaux industriels",1.0,1.0,40.0,À Louer,7 février 2020,450.0
"Ariana, La Soukra",Appartements,2.0,1.0,1.0,À Louer,7 février 2020,2200.0
"Ariana, La Soukra",Maisons et Villas,4.0,2.0,1208.0,À Vendre,7 février 2020,700000.0
"Ariana, La Soukra",Terrains et Fermes,,,,,7 février 2020,600.0
"Ariana, Chotrana",Maisons et Villas,5.0,3.0,220.0,À Louer,7 février 2020,2000.0
"Ariana, Jardins D'el Menzah",Appartements,3.0,2.0,138.0,À Vendre,7 février 2020,340000.0
"Ariana, Raoued",Maisons et Villas,2.0,1.0,150.0,À Vendre,7 février 2020,120000.0
"Ariana, Borj Louzir",Appartements,3.0,1.0,180.0,À Louer,7 février 2020,300.0
"Ariana, Ennasr",Appartements,4.0,180.0,,À Vendre,7 février 2020,285000.0
"Ariana, Autres villes","Magasins, Commerces et Locaux industriels",1.0,13.0,,À Louer,7 février 2020,13.0
"Ariana, Ariana Ville",Appartements,3.0,1.0,250.0,À Louer,7 février 2020,500.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,350000.0
"Ariana, Ennasr",Appartements,2.0,1.0,80.0,À Vendre,7 février 2020,230000.0
"Ariana, Borj Louzir","Magasins, Commerces et Locaux industriels",1.0,1.0,20.0,À Vendre,7 février 2020,55000.0
"Ariana, Ghazela",Appartements,2.0,1.0,80.0,À Louer,7 février 2020,400.0
"Ariana, Ennasr",Appartements,4.0,2.0,200.0,À Vendre,7 février 2020,440000.0
"Ariana, Autres villes",Maisons et Villas,4.0,2.0,130.0,À Vendre,7 février 2020,125000.0
"Ariana, Autres villes","Magasins, Commerces et Locaux industriels",1.0,100.0,,À Vendre,7 février 2020,90000.0
"Ariana, Ghazela",Maisons et Villas,2.0,1.0,150.0,À Vendre,7 février 2020,170000.0
"Ariana, Autres villes",Appartements,4.0,1.0,160.0,À Vendre,7 février 2020,310000.0
"Ariana, Borj Louzir",Appartements,2.0,1.0,89.0,À Vendre,7 février 2020,136000.0
"Ariana, La Soukra",Appartements,2.0,1.0,94.0,À Vendre,7 février 2020,185000.0
"Ariana, Ghazela",Appartements,1.0,1.0,79.0,À Vendre,7 février 2020,146150.0
"Ariana, Ennasr",Maisons et Villas,5.0,2.0,200.0,À Louer,7 février 2020,0.0
"Ariana, La Soukra",Terrains et Fermes,,,,,7 février 2020,420000.0
"Ariana, La Soukra",Maisons et Villas,6.0,4.0,1200.0,À Vendre,7 février 2020,1150000.0
"Ariana, Ghazela",Maisons et Villas,4.0,2.0,320.0,À Vendre,7 février 2020,265000.0
"Ariana, Ennasr",Maisons et Villas,3.0,1.0,130.0,À Louer,7 février 2020,1250.0
"Ariana, Ennasr",Appartements,3.0,1.0,157.0,À Vendre,7 février 2020,340000.0
"Ariana, La Soukra","Magasins, Commerces et Locaux industriels",1.0,1.0,330.0,À Vendre,7 février 2020,1550000.0
"Ariana, Ennasr",Maisons et Villas,3.0,2.0,220.0,À Vendre,7 février 2020,490000.0
"Ariana, La Soukra",Appartements,2.0,1.0,105.0,À Vendre,7 février 2020,225000.0
"Ariana, Autres villes",Terrains et Fermes,,,,,7 février 2020,180.0
"Ariana, Chotrana",Maisons et Villas,5.0,2.0,400.0,À Vendre,7 février 2020,620000.0
"Ariana, Jardins D'el Menzah","Magasins, Commerces et Locaux industriels",1.0,1.0,65.0,À Louer,7 février 2020,4000.0
"Ariana, Ennasr",Appartements,3.0,1.0,130.0,À Vendre,7 février 2020,320000.0
"Ariana, Raoued",Terrains et Fermes,,,,,7 février 2020,90000.0
"Ariana, Autres villes",Appartements,3.0,2.0,1.0,À Louer,7 février 2020,0.0
"Ariana, Ariana Ville",Appartements,8.0,2.0,280.0,À Louer,7 février 2020,2000.0
"Ariana, La Soukra",Terrains et Fermes,,,,,7 février 2020,558000.0
"Ariana, Ghazela",Appartements,1.0,1.0,90.0,À Louer,7 février 2020,175.0
"Ariana, La Soukra","Magasins, Commerces et Locaux industriels",2.0,2.0,430.0,À Louer,7 février 2020,3500.0
"Ariana, Raoued",Appartements,2.0,1.0,75.0,À Louer,7 février 2020,475.0
"Ariana, La Soukra",Maisons et Villas,6.0,4.0,500.0,À Vendre,7 février 2020,0.0
"Ariana, Autres villes",Maisons et Villas,5.0,2.0,500.0,À Louer,7 février 2020,1000.0
"Ariana, Ennasr",Appartements,2.0,1.0,80.0,À Louer,7 février 2020,90.0
"Ariana, Autres villes",Maisons et Villas,5.0,2.0,450.0,À Louer,7 février 2020,2500.0
"Ariana, La Soukra",Maisons et Villas,4.0,2.0,180.0,À Vendre,7 février 2020,750000.0
"Ariana, Ennasr","Magasins, Commerces et Locaux industriels",1.0,1.0,40.0,À Vendre,7 février 2020,0.0
"Ariana, La Soukra",Maisons et Villas,5.0,3.0,265.0,À Vendre,7 février 2020,470000.0
"Ariana, Autres villes",Appartements,2.0,60.0,,À Louer,7 février 2020,70.0
"Ariana, Autres villes","Magasins, Commerces et Locaux industriels",4.0,1.0,120.0,À Louer,7 février 2020,120.0
"Ariana, Ennasr",Appartements,2.0,1.0,100.0,À Louer,7 février 2020,1000.0
"Ariana, Ariana Ville","Magasins, Commerces et Locaux industriels",2.0,1.0,90.0,À Vendre,7 février 2020,0.0
"Ariana, Ettadhamen",Appartements,3.0,1.0,120.0,À Louer,7 février 2020,0.0
"Ariana, Ghazela",Appartements,2.0,1.0,80.0,À Louer,7 février 2020,420.0
"Ariana, Ennasr",Appartements,2.0,1.0,120.0,À Vendre,7 février 2020,270000.0
"Ariana, La Soukra","Magasins, Commerces et Locaux industriels",1.0,2.0,220.0,À Louer,7 février 2020,1000.0
"Ariana, La Soukra",Appartements,4.0,4.0,415.0,À Vendre,7 février 2020,970000.0
"Ariana, La Soukra",Maisons et Villas,3.0,195.0,,À Vendre,7 février 2020,275000.0
"Ariana, Mnihla","Magasins, Commerces et Locaux industriels",1.0,1.0,1.0,À Vendre,7 février 2020,0.0
"Ariana, Borj Louzir",Appartements,3.0,2.0,100.0,À Vendre,7 février 2020,170.0
"Ariana, Ennasr",Appartements,2.0,1.0,74.0,À Vendre,7 février 2020,180000.0
"Ariana, Ariana",Appartements,2.0,1.0,90.0,À Vendre,7 février 2020,205000.0
"Ariana, Mnihla","Magasins, Commerces et Locaux industriels",2.0,220.0,,À Louer,7 février 2020,750.0
"Ariana, Autres villes",Appartements,1.0,2.0,110.0,À Louer,7 février 2020,1200.0
"Ariana, Ennasr",Appartements,3.0,1.0,160.0,À Louer,7 février 2020,1200.0
"Ariana, Raoued",Maisons et Villas,2.0,1.0,120.0,À Louer,7 février 2020,330.0
"Ariana, Ghazela",Bureaux et Plateaux,20.0,3.0,360.0,À Louer,7 février 2020,4000.0
"Ariana, Jardins D'el Menzah",Appartements,3.0,2.0,151.0,À Vendre,7 février 2020,225000.0
"Ariana, La Soukra",Maisons et Villas,5.0,3.0,1000.0,À Vendre,7 février 2020,1000000.0
"Ariana, Ennasr",Appartements,4.0,2.0,145.0,À Vendre,7 février 2020,410000.0
"Ariana, Ennasr",Appartements,4.0,1.0,126.0,À Vendre,7 février 2020,250000.0
"Ariana, Autres villes",Terrains et Fermes,,,,,7 février 2020,110000.0
"Ariana, Borj Louzir","Magasins, Commerces et Locaux industriels",1.0,1.0,50.0,À Louer,7 février 2020,0.0
"Ariana, Autres villes",Appartements,2.0,1.0,75.0,À Louer,7 février 2020,90.0
"Ariana, La Soukra",Appartements,3.0,2.0,160.0,À Louer,7 février 2020,1360.0
"Ariana, Ennasr",Appartements,4.0,1.0,210.0,À Vendre,7 février 2020,0.0
"Ariana, Autres villes",Appartements,2.0,1.0,108.0,À Louer,7 février 2020,90.0
"Ariana, Ariana Ville","Magasins, Commerces et Locaux industriels",1.0,1.0,100.0,À Louer,7 février 2020,1800.0
"Ariana, Jardins D'el Menzah",Maisons et Villas,3.0,1.0,130.0,À Louer,7 février 2020,1200.0
"Ariana, Autres villes",Terrains et Fermes,,,,,7 février 2020,0.0
"Ariana, Autres villes",Appartements,5.0,1.0,150.0,À Vendre,7 février 2020,0.0
"Ariana, Chotrana",Maisons et Villas,1.0,1.0,150.0,À Vendre,7 février 2020,68000.0
"Ariana, Sidi Thabet",Maisons et Villas,5.0,1.0,1000.0,À Vendre,7 février 2020,400000.0
"Ariana, Jardins D'el Menzah","Magasins, Commerces et Locaux industriels",1.0,1.0,30.0,À Vendre,7 février 2020,10.0
"Ariana, Raoued",Maisons et Villas,1.0,1.0,244.0,À Vendre,7 février 2020,88000.0
"Ariana, Ariana Ville",Appartements,2.0,1.0,68.0,À Louer,7 février 2020,700.0
"Ariana, Raoued",Maisons et Villas,3.0,1.0,125.0,À Vendre,7 février 2020,140000.0
"Ariana, La Soukra",Appartements,4.0,2.0,230.0,À Louer,7 février 2020,1800.0
"Ariana, Autres villes",Terrains et Fermes,,,,,7 février 2020,0.0
"Ariana, Ghazela",Appartements,2.0,1.0,100.0,À Louer,7 février 2020,490.0
"Ariana, La Soukra","Magasins, Commerces et Locaux industriels",4.0,338.0,,À Vendre,7 février 2020,0.0
"Ariana, La Soukra",Maisons et Villas,4.0,320.0,,À Vendre,7 février 2020,950000.0
"Ariana, Ariana",Maisons et Villas,6.0,2.0,130.0,À Vendre,7 février 2020,210000.0
"Ariana, La Soukra",Maisons et Villas,4.0,380.0,,À Vendre,7 février 2020,750000.0
"Ariana, La Soukra",Maisons et Villas,4.0,300.0,,À Vendre,7 février 2020,660000.0
"Ariana, La Soukra",Maisons et Villas,7.0,4400.0,,À Vendre,7 février 2020,5800000.0
"Ariana, La Soukra",Appartements,4.0,170.0,,À Vendre,7 février 2020,260000.0
"Ariana, La Soukra",Maisons et Villas,6.0,1000.0,,À Vendre,7 février 2020,2700000.0
"Ariana, La Soukra",Maisons et Villas,8.0,1000.0,,À Vendre,7 février 2020,2200000.0
"Ariana, La Soukra",Maisons et Villas,5.0,5000.0,,À Vendre,7 février 2020,4500000.0
"Ariana, La Soukra",Appartements,2.0,149.0,,À Vendre,7 février 2020,325000.0
"Ariana, La Soukra",Maisons et Villas,4.0,550.0,,À Vendre,7 février 2020,1000000.0
"Ariana, La Soukra",Appartements,3.0,210.0,,À Vendre,7 février 2020,450000.0
"Ariana, La Soukra",Maisons et Villas,3.0,1000.0,,À Vendre,7 février 2020,1800000.0
"Ariana, La Soukra",Maisons et Villas,4.0,1150.0,,À Vendre,7 février 2020,1500000.0
"Ariana, La Soukra",Maisons et Villas,4.0,1046.0,,À Vendre,7 février 2020,1800000.0
"Ariana, La Soukra",Maisons et Villas,8.0,900.0,,À Vendre,7 février 2020,1250000.0
"Ariana, La Soukra",Maisons et Villas,4.0,670.0,,À Vendre,7 février 2020,850000.0
"Ariana, La Soukra",Maisons et Villas,5.0,700.0,,À Vendre,7 février 2020,1200000.0
"Ariana, La Soukra",Maisons et Villas,5.0,1940.0,,À Vendre,7 février 2020,1600000.0
"Ariana, La Soukra",Maisons et Villas,8.0,1000.0,,À Vendre,7 février 2020,2100000.0
"Ariana, La Soukra",Maisons et Villas,5.0,1000.0,,À Vendre,7 février 2020,1300000.0
"Ariana, La Soukra",Maisons et Villas,6.0,1000.0,,À Vendre,7 février 2020,1500000.0
"Ariana, La Soukra",Maisons et Villas,2.0,144.0,,À Vendre,7 février 2020,350000.0
"Ariana, Ariana Ville",Colocations,1.0,1.0,1.0,À Louer,7 février 2020,150.0
"Ariana, Autres villes",Appartements,1.0,1.0,64.0,À Vendre,7 février 2020,155.0
"Ariana, Raoued",Terrains et Fermes,,,,,7 février 2020,120000.0
"Ariana, Ariana",Appartements,3.0,2.0,110.0,À Louer,7 février 2020,1000.0
"Ariana, Ariana",Colocations,2.0,1.0,75.0,À Louer,7 février 2020,130.0
"Ariana, Raoued",Terrains et Fermes,,,,,7 février 2020,55000000.0
"Ariana, Autres villes",Appartements,2.0,1.0,100.0,À Louer,7 février 2020,0.0
"Ariana, Raoued",Maisons et Villas,3.0,1.0,200.0,À Vendre,7 février 2020,90.0
"Ariana, Ariana",Terrains et Fermes,,,,,7 février 2020,550.0
"Ariana, Ennasr",Locations de vacances,1.0,1.0,50.0,À Louer,7 février 2020,85.0
"Ariana, Jardins D'el Menzah",Appartements,2.0,1.0,105.0,À Vendre,7 février 2020,230000.0
"Ariana, Raoued",Maisons et Villas,1.0,1.0,138.0,À Vendre,7 février 2020,80000.0
"Ariana, La Soukra",Locations de vacances,5.0,2.0,250.0,À Louer,7 février 2020,300.0
"Ariana, Ennasr",Locations de vacances,2.0,1.0,70.0,À Louer,7 février 2020,90.0
"Ariana, Ghazela",Maisons et Villas,2.0,1.0,103.0,À Vendre,7 février 2020,115000.0
"Ariana, Ghazela",Maisons et Villas,4.0,320.0,,À Vendre,7 février 2020,265000.0
"Ariana, La Soukra",Terrains et Fermes,,,,,7 février 2020,650.0
"Ariana, Borj Louzir",Terrains et Fermes,,,,,7 février 2020,708800.0
"Ariana, Raoued",Terrains et Fermes,,,,,7 février 2020,200000.0
"Ariana, Raoued",Terrains et Fermes,,,,,7 février 2020,2250000.0
"Ariana, Raoued",Terrains et Fermes,,,,,7 février 2020,260000.0
"Ariana, Raoued",Terrains et Fermes,,,,,7 février 2020,500000.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,170000.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,400000.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,270000.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,250000.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,280000.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,350000.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,1100000.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,180000.0
"Ariana, Raoued",Terrains et Fermes,,,,,7 février 2020,400000.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,150000.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,250000.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,2400000.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,220000.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,250000.0
"Ariana, Borj Louzir",Appartements,3.0,1.0,163.0,À Vendre,7 février 2020,340000.0
"Ariana, Ghazela",Maisons et Villas,3.0,1.0,120.0,À Vendre,7 février 2020,400.0
"Ariana, Raoued",Terrains et Fermes,,,,,7 février 2020,650.0
"Ariana, Ghazela",Terrains et Fermes,,,,,7 février 2020,800000.0
"Ariana, Ariana",Terrains et Fermes,,,,,7 février 2020,900000.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,4000000.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,200000.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0.0
"Ariana, Ghazela",Maisons et Villas,8.0,3.0,280.0,À Vendre,7 février 2020,145000.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0.0
"Ariana, Raoued",Terrains et Fermes,,,,,7 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0.0
"Ariana, Jardins D'el Menzah",Maisons et Villas,3.0,2.0,188.0,À Vendre,7 février 2020,257000.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0.0
"Ariana, Mnihla",Terrains et Fermes,,,,,7 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0.0
"Ariana, Ariana",Appartements,3.0,-1.0,-1.0,À Vendre,7 février 2020,0.0
"Ariana, Raoued",Terrains et Fermes,,,,,7 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0.0
"Ariana, Mnihla",Terrains et Fermes,,,,,7 février 2020,0.0
"Ariana, Mnihla",Terrains et Fermes,,,,,7 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0.0
"Ariana, Raoued",Terrains et Fermes,,,,,7 février 2020,0.0
"Ariana, Raoued",Terrains et Fermes,,,,,7 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,0.0
"Ariana, Jardins D'el Menzah",Terrains et Fermes,,,,,7 février 2020,0.0
"Ariana, Jardins D'el Menzah",Terrains et Fermes,,,,,7 février 2020,0.0
"Ariana, Ghazela",Terrains et Fermes,,,,,7 février 2020,0.0
"Ariana, La Soukra",Terrains et Fermes,,,,,7 février 2020,0.0
"Ariana, Ennasr",Appartements,1.0,1.0,65.0,À Louer,7 février 2020,800.0
"Ariana, La Soukra",Appartements,1.0,1.0,83.0,À Louer,7 février 2020,950.0
"Ariana, Chotrana",Appartements,3.0,1.0,76.0,À Vendre,7 février 2020,115000.0
"Ariana, La Soukra",Terrains et Fermes,,,,,7 février 2020,700.0
"Ariana, Ariana",Appartements,2.0,1.0,80.0,À Louer,7 février 2020,0.0
"Ariana, Autres villes",Maisons et Villas,4.0,1.0,1.0,À Louer,7 février 2020,650.0
"Ariana, Raoued",Terrains et Fermes,,,,,6 février 2020,0.0
"Ariana, Autres villes",Maisons et Villas,650.0,650.0,650.0,À Vendre,6 février 2020,0.0
"Ariana, Raoued",Terrains et Fermes,,,,,6 février 2020,90000.0
"Ariana, La Soukra",Terrains et Fermes,,,,,6 février 2020,320000.0
"Ariana, Jardins D'el Menzah",Appartements,2.0,2.0,120.0,À Louer,6 février 2020,1200.0
"Ariana, Borj Louzir",Appartements,1.0,1.0,50.0,À Louer,6 février 2020,300.0
"Ariana, Jardins D'el Menzah",Appartements,2.0,2.0,130.0,À Vendre,6 février 2020,28000.0
"Ariana, Raoued",Terrains et Fermes,,,,,6 février 2020,75000.0
"Ariana, Jardins D'el Menzah","Magasins, Commerces et Locaux industriels",1.0,0.0,488.0,À Louer,6 février 2020,0.0
"Ariana, Autres villes",Maisons et Villas,2.0,1.0,125.0,À Vendre,6 février 2020,78.0
"Ariana, Ariana Ville",Appartements,2.0,1.0,110.0,À Louer,6 février 2020,900.0
"Ariana, Autres villes",Bureaux et Plateaux,4.0,2.0,400.0,À Louer,6 février 2020,3000.0
"Ariana, Ghazela",Bureaux et Plateaux,1.0,3760.0,,À Louer,6 février 2020,130.0
"Ariana, Jardins D'el Menzah","Magasins, Commerces et Locaux industriels",1.0,0.0,100.0,À Louer,6 février 2020,650.0
"Ariana, Raoued",Terrains et Fermes,,,,,6 février 2020,85000.0
"Ariana, Ariana",Colocations,3.0,1.0,1.0,À Louer,6 février 2020,150.0
"Ariana, La Soukra",Appartements,4.0,3.0,370.0,À Vendre,6 février 2020,1100000.0
"Ariana, La Soukra",Appartements,3.0,1.0,500.0,À Louer,6 février 2020,1360.0
"Ariana, Autres villes",Maisons et Villas,2.0,1.0,200.0,À Louer,6 février 2020,130.0
"Ariana, La Soukra",Appartements,3.0,2.0,143.0,À Vendre,6 février 2020,360000.0
"Ariana, Ennasr",Appartements,4.0,2.0,200.0,À Vendre,6 février 2020,360000.0
"Ariana, Autres villes",Appartements,4.0,2.0,230.0,À Vendre,6 février 2020,0.0
"Ariana, Ennasr",Appartements,3.0,1.0,150.0,À Vendre,6 février 2020,350000.0
"Ariana, Ennasr",Appartements,2.0,1.0,130.0,À Vendre,6 février 2020,300000.0
"Ariana, Autres villes",Appartements,4.0,2.0,120.0,À Vendre,6 février 2020,200.0
"Ariana, Jardins D'el Menzah",Appartements,1.0,1.0,56.0,À Vendre,6 février 2020,158000.0
"Ariana, Ennasr",Appartements,2.0,2.0,136.0,À Vendre,6 février 2020,300000.0
"Ariana, Jardins D'el Menzah",Appartements,3.0,2.0,140.0,À Vendre,6 février 2020,275000.0
"Ariana, Autres villes",Appartements,1.0,1.0,27.0,À Louer,6 février 2020,70.0
"Ariana, Ariana","Magasins, Commerces et Locaux industriels",1.0,1.0,36.0,À Vendre,6 février 2020,119000.0
"Ariana, Raoued",Appartements,3.0,1.0,110.0,À Vendre,6 février 2020,150000.0
"Ariana, Jardins D'el Menzah",Appartements,2.0,1.0,100.0,À Vendre,6 février 2020,230000.0
"Ariana, Ennasr",Appartements,2.0,1.0,120.0,À Vendre,6 février 2020,240000.0
"Ariana, Ariana",Terrains et Fermes,,,,,6 février 2020,75000.0
"Ariana, Jardins D'el Menzah",Appartements,3.0,1.0,165.0,À Vendre,6 février 2020,1050.0
"Ariana, Ariana",Maisons et Villas,1.0,1.0,1.0,À Vendre,6 février 2020,75000.0
"Ariana, Jardins D'el Menzah",Appartements,1.0,1.0,70.0,À Louer,6 février 2020,830.0
"Ariana, La Soukra",Appartements,1.0,1.0,10000.0,À Louer,6 février 2020,350.0
"Ariana, Ennasr",Appartements,2.0,1.0,126.0,À Vendre,6 février 2020,330000.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0.0
"Ariana, Raoued",Terrains et Fermes,,,,,6 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0.0
"Ariana, Mnihla",Terrains et Fermes,,,,,6 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0.0
"Ariana, La Soukra",Terrains et Fermes,,,,,6 février 2020,0.0
"Ariana, Ennasr",Terrains et Fermes,,,,,6 février 2020,0.0
"Ariana, Chotrana",Terrains et Fermes,,,,,6 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0.0
"Ariana, Ghazela",Terrains et Fermes,,,,,6 février 2020,0.0
"Ariana, Ariana",Terrains et Fermes,,,,,6 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0.0
"Ariana, La Soukra",Maisons et Villas,5.0,3.0,327.0,À Vendre,6 février 2020,880000.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0.0
"Ariana, La Soukra",Maisons et Villas,4.0,5.0,434.0,À Vendre,6 février 2020,1800000.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0.0
"Ariana, Raoued",Terrains et Fermes,,,,,6 février 2020,0.0
"Ariana, Raoued",Terrains et Fermes,,,,,6 février 2020,0.0
"Ariana, Jardins D'el Menzah",Terrains et Fermes,,,,,6 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0.0
"Ariana, Mnihla",Terrains et Fermes,,,,,6 février 2020,0.0
"Ariana, Raoued",Terrains et Fermes,,,,,6 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0.0
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,6 février 2020,0.0
"Ariana, La Soukra",Appartements,3.0,3.0,278.0,À Vendre,6 février 2020,750000.0
